Comment,Designator,Footprint,LCSC
"22p","C1,C2","Capacitor_SMD:C_0603_1608Metric","C1653"
"1u","C3","Capacitor_SMD:C_0603_1608Metric","C15849"
"0.1u","C4,C5,C6","Capacitor_SMD:C_0402_1005Metric","C1525"
"10u","C7","Capacitor_SMD:C_0603_1608Metric","C19702"
"500m","F1","Fuse:Fuse_1206_3216Metric","C70069"
"10k","R1,R2","Resistor_SMD:R_0805_2012Metric","C17414"
"22","R3,R4","Resistor_SMD:R_0805_2012Metric","C17561"
"5.1k","R5,R6","Resistor_SMD:R_0805_2012Metric","C27834"
"ATmega32U4-AU","U1","Package_QFP:TQFP-44_10x10mm_P0.8mm","C44854"
"HRO-TYPE-C-31-M-12","USB1","Type-C:HRO-TYPE-C-31-M-12-Assembly","C165948"
"XTAL","Y1","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","C179641"
