"Value","Reference","Footprint","LCSC"
"100n","C1,C2,C3,C4,C5,C6,C7,C8,C9,C16","Capacitor_SMD:C_0402_1005Metric","C1525"
"1u","C10,C11,C12,C13","Capacitor_SMD:C_0402_1005Metric","C52923"
"15p","C14,C15","Capacitor_SMD:C_0402_1005Metric","C1548"
"100u","C17","Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B","C16133"
"500m","F1","Fuse:Fuse_0805_2012Metric","C2833485"
"27","R1,R2","Resistor_SMD:R_0402_1005Metric","C138021"
"22","R3,R4","Resistor_SMD:R_0402_1005Metric","C102906"
"1k","R5,R7","Resistor_SMD:R_0402_1005Metric","C11702"
"10k","R6","Resistor_SMD:R_0402_1005Metric","C25744"
"5.1k","R8,R9","Resistor_SMD:R_0402_1005Metric","C25905"
"SW_Push","SW19,SW20","SW:C318884","C318884"
"RP2040","U1","RP2040:RP2040-QFN-56","C2040"
"TLV73333PDBV","U2","SOT-23-5:SOT-23-5","C134139"
"W25Q128JVS","U3","SOIC:SOIC-8_5.23x5.23mm_P1.27mm","C97521"
"~","U4","ECMF02-4CMX8:ECMF02-4CMX8","C717678"
"HRO-TYPE-C-31-M-12","USB1","Type-C:HRO-TYPE-C-31-M-12-Assembly","C165948"
"USB_A","USB2","Type-A:C2763302","C2763302"
"Crystal_GND24","Y1","Crystal:Crystal_SMD_2520-4Pin_2.5x2.0mm","C90603"
