Designator,Val,Package,Mid X, Mid Y,Rotation,Layer
"C1","100n","C_0402_1005Metric",127.250000,-40.100000,90.000000,top
"C2","100n","C_0402_1005Metric",130.050000,-53.255000,-90.000000,top
"C3","100n","C_0402_1005Metric",128.300000,-40.575000,90.000000,top
"C4","100n","C_0402_1005Metric",123.850000,-44.350000,-90.000000,top
"C5","100n","C_0402_1005Metric",133.600000,-47.950000,0.000000,top
"C6","100n","C_0402_1005Metric",123.400000,-48.300000,180.000000,top
"C7","100n","C_0402_1005Metric",129.050000,-53.255000,-90.000000,top
"C8","100n","C_0402_1005Metric",133.600000,-43.900000,0.000000,top
"C9","100n","C_0402_1005Metric",133.600000,-42.900000,0.000000,top
"C10","1u","C_0402_1005Metric",132.500000,-40.550000,90.000000,top
"C11","1u","C_0402_1005Metric",131.500000,-40.550000,90.000000,top
"C12","1u","C_0402_1005Metric",143.270000,-41.850000,0.000000,top
"C13","1u","C_0402_1005Metric",137.920000,-41.350000,90.000000,top
"C14","15p","C_0402_1005Metric",125.300000,-51.950000,0.000000,top
"C15","15p","C_0402_1005Metric",128.000000,-55.000000,-90.000000,top
"C16","100n","C_0402_1005Metric",119.300000,-33.450000,90.000000,top
"C17","100u","CP_EIA-3528-21_Kemet-B",190.000000,-43.212500,-90.000000,top
"F1","500m","Fuse_0805_2012Metric",146.512500,-38.250000,180.000000,top
"R1","27","R_0402_1005Metric",129.350000,-40.450000,-90.000000,top
"R2","27","R_0402_1005Metric",130.400000,-40.450000,-90.000000,top
"R3","22","R_0402_1005Metric",137.500000,-48.800000,180.000000,top
"R4","22","R_0402_1005Metric",137.500000,-47.800000,180.000000,top
"R5","1k","R_0402_1005Metric",128.000000,-53.050000,90.000000,top
"R6","10k","R_0402_1005Metric",119.300000,-40.300000,-90.000000,top
"R7","1k","R_0402_1005Metric",120.850000,-42.400000,180.000000,top
"R8","5.1k","R_0402_1005Metric",142.500000,-34.700000,180.000000,top
"R9","5.1k","R_0402_1005Metric",146.550000,-35.150000,-90.000000,top
"SW19","SW_Push","C318884",116.500000,-56.500000,90.000000,top
"SW20","SW_Push","C318884",110.500000,-56.500000,90.000000,top
"U1","RP2040","RP2040-QFN-56",128.500000,-47.275000,0.000000,top
"U2","TLV73333PDBV","SOT-23-5",140.370000,-40.900000,0.000000,top
"U3","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",122.750000,-37.200000,0.000000,top
"U4","~","ECMF02-4CMX8",142.400000,-37.400000,90.000000,top
"USB1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12-Assembly",145.000000,-30.184000,180.000000,top
"USB2","USB_A","C2763302",190.000000,-32.753000,180.000000,top
"Y1","Crystal_GND24","Crystal_SMD_2520-4Pin_2.5x2.0mm",125.950000,-54.200000,-90.000000,top
