"Value","Reference","Footprint","LCSC"
"100n","C1,C3,C4,C5,C6,C7,C8,C9,C10,C18","Capacitor_SMD:C_0402_1005Metric","C1525"
"4.7u","C2,C11,C12,C13","Capacitor_SMD:C_0402_1005Metric,lib:C_0402_1005Metric_small_pads","C23733"
"1u","C14,C15","Capacitor_SMD:C_0402_1005Metric","C52923"
"15p","C16,C17","Capacitor_SMD:C_0402_1005Metric","C1548"
"100u","C19","Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B","C16133"
"500m","F1","Fuse:Fuse_0805_2012Metric","C2833485"
"3.3u","L1","lib:L_pol_2016","C42411119"
"33","R1","Resistor_SMD:R_0402_1005Metric","C25105"
"27","R2,R3","Resistor_SMD:R_0402_1005Metric","C138021"
"1k","R4,R6,R8","Resistor_SMD:R_0402_1005Metric","C11702"
"22","R5,R7","Resistor_SMD:R_0402_1005Metric","C102906"
"10k","R9","Resistor_SMD:R_0402_1005Metric","C25744"
"5.1k","R10,R11","Resistor_SMD:R_0402_1005Metric","C25905"
"SW_Push","SW19,SW20","SW:C318884","C318884"
"RP2350_60QFN","U1","lib:RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias","C42411118"
"TLV73333PDBV","U2","SOT-23-5:SOT-23-5","C134139"
"W25Q128JVS","U3","SOIC:SOIC-8_5.23x5.23mm_P1.27mm","C97521"
"~","U4","ECMF02-4CMX8:ECMF02-4CMX8","C717678"
"HRO-TYPE-C-31-M-12","USB1","Type-C:HRO-TYPE-C-31-M-12-Assembly","C165948"
"USB_A","USB2","Type-A:C2763302","C2763302"
"ABM8-272-T3","Y1","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","C20625731"
